Plot,Site,Warmed,Removal,Days,Species,Phenological.event,Category.summary,sp cover in plot,events per dm2,events per m2,Growth form
13,Low,W,C,64,ASTER,Flower,1,0.55,1.818181818,181.8181818,forb
14,Low,W,R,64,ASTER,Flower,2,1,2,200,forb
16,Low,W,R,64,ASTER,Flower,1,1.525,0.655737705,65.5737705,forb
2,Low,W,C,150,CALVUL,Flower,1000,60,16.66666667,1666.666667,woody
7,Low,W,C,150,CALVUL,Flower,1000,30.5,32.78688525,3278.688525,woody
9,Low,W,C,150,CALVUL,Flower,1000,43.75,22.85714286,2285.714286,woody
11,Low,W,C,150,CALVUL,Flower,50,0.55,90.90909091,9090.909091,woody
13,Low,W,C,173,CALVUL,Flower,1000,25.25,39.6039604,3960.39604,woody
15,Low,W,C,150,CALVUL,Flower,1000,20,50,5000,woody
17,Low,W,C,138,CALVUL,Flower,1000,7.525,132.8903654,13289.03654,woody
18,Low,A,C,150,CALVUL,Flower,1000,24,41.66666667,4166.666667,woody
20,Low,A,C,165,CALVUL,Flower,1000,8,125,12500,woody
22,Low,A,C,173,CALVUL,Flower,1000,20.25,49.38271605,4938.271605,woody
28,Low,A,C,150,CALVUL,Flower,500,11,45.45454545,4545.454545,woody
29,Low,A,C,165,CALVUL,Flower,1000,16.25,61.53846154,6153.846154,woody
30,Low,A,C,173,CALVUL,Flower,1000,25,40,4000,woody
31,Low,A,C,165,CALVUL,Flower,1000,19,52.63157895,5263.157895,woody
6,Low,W,C,104,CELGLA,Flower,2,1.75,1.142857143,114.2857143,forb
10,Low,W,R,122,CELGLA,Flower,50,4,12.5,1250,forb
13,Low,W,C,122,CELGLA,Flower,1,0.25,4,400,forb
14,Low,W,R,104,CELGLA,Flower,8,3,2.666666667,266.6666667,forb
16,Low,W,R,104,CELGLA,Flower,50,0.75,66.66666667,6666.666667,forb
17,Low,W,C,104,CELGLA,Flower,50,1.25,40,4000,forb
20,Low,A,C,122,CELGLA,Flower,3,1,3,300,forb
23,Low,A,R,122,CELGLA,Flower,7,2.275,3.076923077,307.6923077,forb
1,Low,W,R,90,CELGRA,Flower,2,0.75,2.666666667,266.6666667,forb
4,Low,W,R,90,CELGRA,Flower,2,0.525,3.80952381,380.952381,forb
5,Low,W,R,90,CELGRA,Flower,6,3,2,200,forb
6,Low,W,C,122,CELGRA,Flower,2,2,1,100,forb
10,Low,W,R,70,CELGRA,Flower,1,1,1,100,forb
11,Low,W,C,104,CELGRA,Flower,1,0.325,3.076923077,307.6923077,forb
12,Low,W,R,70,CELGRA,Flower,1,0.325,3.076923077,307.6923077,forb
14,Low,W,R,70,CELGRA,Flower,2,1,2,200,forb
15,Low,W,C,104,CELGRA,Flower,2,1.025,1.951219512,195.1219512,forb
16,Low,W,R,90,CELGRA,Flower,4,0.75,5.333333333,533.3333333,forb
17,Low,W,C,90,CELGRA,Flower,1,0.55,1.818181818,181.8181818,forb
19,Low,A,R,90,CELGRA,Flower,1,0.775,1.290322581,129.0322581,forb
21,Low,A,R,90,CELGRA,Flower,1,0.525,1.904761905,190.4761905,forb
24,Low,A,R,104,CELGRA,Flower,1,0.325,3.076923077,307.6923077,forb
29,Low,A,C,122,CELGRA,Flower,1,1.5,0.666666667,66.6666667,forb
30,Low,A,C,90,CELGRA,Flower,3,1,3,300,forb
5,Low,W,R,90,CELSPE,Flower,3,3.75,0.8,80,forb
10,Low,W,R,90,CELSPE,Flower,1,3.25,0.307692308,30.7692308,forb
17,Low,W,C,90,CELSPE,Flower,1,4.5,0.222222222,22.2222222,forb
19,Low,A,R,104,CELSPE,Flower,1,5,0.2,20,forb
