Plot,Site,Warmed,Removal,Days,Species,Phenological.event,Category.summary,sp cover in plot,events per dm2,events per m2
1,High,A,R,64,ANIARO,Bud,0,0.1,0,0
1,High,A,R,64,ANIARO,Flower,0,0.1,0,0
1,High,A,R,64,ANIARO,Seed,0,0.1,0,0
1,High,A,R,64,ASTER,Bud,0,0,NA,NA
1,High,A,R,64,ASTER,Flower,0,0,NA,NA
1,High,A,R,64,ASTER,Seed,0,0,NA,NA
1,High,A,R,64,CALVUL,Bud,0,0,NA,NA
1,High,A,R,64,CALVUL,Flower,0,0,NA,NA
1,High,A,R,64,CALVUL,Seed,0,0,NA,NA
1,High,A,R,64,CELGLA,Bud,0,0,NA,NA
1,High,A,R,64,CELGLA,Flower,0,0,NA,NA
1,High,A,R,64,CELGLA,Seed,0,0,NA,NA
1,High,A,R,64,CELGRA,Bud,0,0,NA,NA
1,High,A,R,64,CELGRA,Flower,0,0,NA,NA
1,High,A,R,64,CELGRA,Seed,0,0,NA,NA
1,High,A,R,64,CELSPE,Bud,0,0,NA,NA
1,High,A,R,64,CELSPE,Flower,0,0,NA,NA
1,High,A,R,64,CELSPE,Seed,0,0,NA,NA
1,High,A,R,64,CHIPAL,Bud,0,3,0,0
1,High,A,R,64,CHIPAL,Flower,0,3,0,0
1,High,A,R,64,CHIPAL,Seed,0,3,0,0
1,High,A,R,64,CHIRUB,Bud,0,0,NA,NA
1,High,A,R,64,CHIRUB,Flower,0,0,NA,NA
1,High,A,R,64,CHIRUB,Seed,0,0,NA,NA
1,High,A,R,64,COPCHE,Bud,0,0,NA,NA
1,High,A,R,64,COPCHE,Flower,0,0,NA,NA
1,High,A,R,64,COPCHE,Seed,0,0,NA,NA
1,High,A,R,64,COPPER,Bud,0,0,NA,NA
1,High,A,R,64,COPPER,Flower,0,0,NA,NA
1,High,A,R,64,COPPER,Seed,0,0,NA,NA
1,High,A,R,64,CORPTE,Bud,0,0,NA,NA
1,High,A,R,64,CORPTE,Flower,0,0,NA,NA
1,High,A,R,64,CORPTE,Seed,0,0,NA,NA
1,High,A,R,64,DRAREC,Bud,0,0,NA,NA
1,High,A,R,64,DRAREC,Flower,0,0,NA,NA
1,High,A,R,64,DRAREC,Seed,0,0,NA,NA
1,High,A,R,64,DRASUB,Bud,0,0,NA,NA
1,High,A,R,64,DRASUB,Flower,0,0,NA,NA
1,High,A,R,64,DRASUB,Seed,0,0,NA,NA
1,High,A,R,64,DROFRA,Bud,0,0,NA,NA
1,High,A,R,64,DROFRA,Flower,0,0,NA,NA
1,High,A,R,64,DROFRA,Seed,0,0,NA,NA
1,High,A,R,64,EMPMIN,Bud,0,0,NA,NA
1,High,A,R,64,EMPMIN,Flower,0,0,NA,NA
1,High,A,R,64,EMPMIN,Seed,0,0,NA,NA
1,High,A,R,64,EPAALP,Bud,0,0,NA,NA
1,High,A,R,64,EPAALP,Flower,0,0,NA,NA
1,High,A,R,64,EPAALP,Seed,0,0,NA,NA
1,High,A,R,64,EUPCUN,Bud,0,0,NA,NA
1,High,A,R,64,EUPCUN,Flower,0,0,NA,NA
1,High,A,R,64,EUPCUN,Seed,0,0,NA,NA
1,High,A,R,64,GAUCOL,Bud,0,0,NA,NA
1,High,A,R,64,GAUCOL,Flower,0,0,NA,NA
1,High,A,R,64,GAUCOL,Seed,0,0,NA,NA
1,High,A,R,64,GENBEL,Bud,0,0,NA,NA
1,High,A,R,64,GENBEL,Flower,0,0,NA,NA
1,High,A,R,64,GENBEL,Seed,0,0,NA,NA
1,High,A,R,64,GONMIC,Bud,0,0,NA,NA
1,High,A,R,64,GONMIC,Flower,0,0,NA,NA
1,High,A,R,64,GONMIC,Seed,0,0,NA,NA
1,High,A,R,64,HAIRY ROSETTE,Bud,0,0,NA,NA
1,High,A,R,64,HAIRY ROSETTE,Flower,0,0,NA,NA
1,High,A,R,64,HAIRY ROSETTE,Seed,0,0,NA,NA
1,High,A,R,64,HEBTET,Bud,0,0,NA,NA
1,High,A,R,64,HEBTET,Flower,0,0,NA,NA
1,High,A,R,64,HEBTET,Seed,0,0,NA,NA
1,High,A,R,64,HEBVEN,Bud,0,0,NA,NA
1,High,A,R,64,HEBVEN,Flower,0,0,NA,NA
1,High,A,R,64,HEBVEN,Seed,0,0,NA,NA
1,High,A,R,64,HYPRAD,Bud,0,0,NA,NA
1,High,A,R,64,HYPRAD,Flower,0,0,NA,NA
1,High,A,R,64,HYPRAD,Seed,0,0,NA,NA
1,High,A,R,64,LEPSCO,Bud,0,0,NA,NA
1,High,A,R,64,LEPSCO,Flower,0,0,NA,NA
1,High,A,R,64,LEPSCO,Seed,0,0,NA,NA
1,High,A,R,64,LEUFRA,Bud,0,0,NA,NA
1,High,A,R,64,LEUFRA,Flower,0,0,NA,NA
1,High,A,R,64,LEUFRA,Seed,0,0,NA,NA
1,High,A,R,64,LUZCOL,Bud,0,0.1,0,0
1,High,A,R,64,LUZCOL,Flower,0,0.1,0,0
1,High,A,R,64,LUZCOL,Seed,0,0.1,0,0
1,High,A,R,64,LUZRUF,Bud,0,0,NA,NA
1,High,A,R,64,LUZRUF,Flower,0,0,NA,NA
1,High,A,R,64,LUZRUF,Seed,0,0,NA,NA
1,High,A,R,64,LYCFAS,Bud,0,0,NA,NA
1,High,A,R,64,LYCFAS,Flower,0,0,NA,NA
1,High,A,R,64,LYCFAS,Seed,0,0,NA,NA
1,High,A,R,64,MUEAXI,Bud,0,0,NA,NA
1,High,A,R,64,MUEAXI,Flower,0,0,NA,NA
1,High,A,R,64,MUEAXI,Seed,0,0,NA,NA
1,High,A,R,64,MYSTERY GRASS,Bud,0,3,0,0
1,High,A,R,64,MYSTERY GRASS,Flower,0,3,0,0
1,High,A,R,64,MYSTERY GRASS,Seed,0,3,0,0
1,High,A,R,64,ORCHID,Bud,0,0,NA,NA
1,High,A,R,64,ORCHID,Flower,0,0,NA,NA
1,High,A,R,64,ORCHID,Seed,0,0,NA,NA
1,High,A,R,64,ORESTR,Bud,0,0,NA,NA
1,High,A,R,64,ORESTR,Flower,0,0,NA,NA
1,High,A,R,64,ORESTR,Seed,0,0,NA,NA
1,High,A,R,64,OZOLEP,Bud,0,0,NA,NA
1,High,A,R,64,OZOLEP,Flower,0,0,NA,NA
1,High,A,R,64,OZOLEP,Seed,0,0,NA,NA
1,High,A,R,64,PENPUM,Bud,0,0,NA,NA
1,High,A,R,64,PENPUM,Flower,0,0,NA,NA
1,High,A,R,64,PENPUM,Seed,0,0,NA,NA
1,High,A,R,64,PIMHIR,Bud,0,0,NA,NA
1,High,A,R,64,PIMHIR,Flower,0,0,NA,NA
1,High,A,R,64,PIMHIR,Seed,0,0,NA,NA
1,High,A,R,64,PRACOL,Bud,0,0,NA,NA
1,High,A,R,64,PRACOL,Flower,0,0,NA,NA
1,High,A,R,64,PRACOL,Seed,0,0,NA,NA
1,High,A,R,64,RAOALB,Bud,0,0,NA,NA
1,High,A,R,64,RAOALB,Flower,0,0,NA,NA
1,High,A,R,64,RAOALB,Seed,0,0,NA,NA
1,High,A,R,64,RYTPUM,Bud,0,0,NA,NA
1,High,A,R,64,RYTPUM,Flower,0,0,NA,NA
1,High,A,R,64,RYTPUM,Seed,0,0,NA,NA
1,High,A,R,64,WAHPYG,Bud,0,0,NA,NA
1,High,A,R,64,WAHPYG,Flower,0,0,NA,NA
1,High,A,R,64,WAHPYG,Seed,0,0,NA,NA
1,High,A,R,70,ANIARO,Bud,0,0.1,0,0
1,High,A,R,70,ANIARO,Flower,0,0.1,0,0
1,High,A,R,70,ANIARO,Seed,0,0.1,0,0
1,High,A,R,70,ASTER,Bud,0,0,NA,NA
1,High,A,R,70,ASTER,Flower,0,0,NA,NA
1,High,A,R,70,ASTER,Seed,0,0,NA,NA
1,High,A,R,70,CALVUL,Bud,0,0,NA,NA
