Trial,Sample,Treatment,Number of seeds,Notes,weight,Ht (mm),diam (mm),Flower number on shrub at pollination,Average number of flowers on 25m transect,Proportion native,Date,Latitude,Longitude
1,1H3,H,3,,0.0032,780,780,50,#N/A,#N/A,24th January 2018,-39.191417,175.7611
1,1N2,N,8,,0.0059,630,430,50,7909.75,0.512386468,24th January 2018,-39.191417,175.7611
1,1.00E+03,E,2,,0.0024,650,340,20,#N/A,#N/A,24th January 2018,-39.191417,175.7611
1,1H2,H,2,,0.0016,700,570,20,#N/A,#N/A,24th January 2018,-39.191417,175.7611
1,1N3,N,5,,0.0011,405,580,20,145.25,0.861878453,24th January 2018,-39.191417,175.7611
1,1.00E+01,E,2,2 FOUND. 3 ON BAG,0.0014,560,390,200,#N/A,#N/A,24th January 2018,-39.191417,175.7611
1,1.00E+02,E,6,,0.0021,490,320,20,#N/A,#N/A,24th January 2018,-39.191417,175.7611
1,1H1,H,8,,0.0018,340,540,500,#N/A,#N/A,24th January 2018,-39.191417,175.7611
1,1N1,N,7,,0.0015,570,680,50,110.75,1,24th January 2018,-39.191417,175.7611
P12,P12E3,E,3,,0.0023,620,630,0,#N/A,#N/A,8th February 2018,-39.243699,175.73089
P12,P12H3,H,8,8 FOUND. 9 ON BAG,0.0016,550,400,0,#N/A,#N/A,8th February 2018,-39.243699,175.73089
P12,P12H1,H,2,,0.0026,850,1200,0,#N/A,#N/A,8th February 2018,-39.243699,175.73089
P12,P12E1,E,8,,0.0022,0,0,0,#N/A,#N/A,8th February 2018,-39.243699,175.73089
P12,p12H2,H,8,,0.0013,550,750,0,#N/A,#N/A,8th February 2018,-39.243699,175.73089
8,8N1,N,6,,0.004,650,740,0,4454,0.093483634,8th February 2018,-39.243987,175.73228
8,8.00E+03,E,7,,0.0024,820,320,0,#N/A,#N/A,8th February 2018,-39.243987,175.73228
8,8N1,N,8,8 FOUND 7 ON BAG,0.0022,650,740,0,4454,0.093483634,8th February 2018,-39.243987,175.73228
8,8N2,N,8,,0.002,820,780,0,4151.5,0.476667572,8th February 2018,-39.243987,175.73228
8,8.00E+02,E,6,7 BUT DROPPED ONE,0.0017,540,520,0,#N/A,#N/A,8th February 2018,-39.243987,175.73228
8,8H3,H,6,,0.0018,860,680,0,#N/A,#N/A,8th February 2018,-39.243987,175.73228
8,8.00E+01,E,7,8 BUT DROPPED ONE,0.0025,650,1140,0,#N/A,#N/A,8th February 2018,-39.243987,175.73228
8,8H2,H,5,,0.0015,600,500,0,#N/A,#N/A,8th February 2018,-39.243987,175.73228
8,8N3,N,10,,0.0035,490,480,0,9231.25,0.01518269,8th February 2018,-39.243987,175.73228
2,2N3,N,5,6 BUT ONE LOST,0.0021,640,620,50,499.75,1,24th January 2018,-39.190239,175.75593
